CIR,2007_EX,2007_ES,2008_EX,2008_ES,2009_EX,2009_ES,2010_EX,2010_ES,2012_EX,2012_ES,2013_EX,2013_ES,2014_EX,2014_ES,2015_EX,2015_ES
31072,0.02263374485596708,0.023507287259050307,0.022742935906271536,0.02274837511606314,0.02201151371486624,0.02184014869888476,0.024092297251442144,0.022737819025522042,0.025442477876106196,0.02480477721635278,0.02860368837034249,0.025245441795231416,0.03365200764818355,0.025298988040478382,0.037653586999603646,0.026593305823016965
31073,0.056584362139917695,0.05688763516690174,0.05651274982770503,0.056638811513463325,0.05485946495089739,0.05808550185873606,0.0505598914149983,0.058004640371229696,0.06157817109144543,0.060174552135966924,0.0643582988332706,0.06217858812529219,0.06500956022944551,0.06347746090156393,0.06064209274673008,0.06556625401192114
31074,0.019890260631001373,0.01692524682651622,0.018952446588559616,0.015784586815227482,0.013545546901456146,0.014405204460966542,0.014251781472684086,0.014385150812064965,0.0306047197640118,0.01607717041800643,0.031990967256304105,0.015427769985974754,0.032504780114722756,0.015639374425023,0.03329369797859691,0.015589179275561669
31075,0.01440329218106996,0.008932769158439116,0.015506547208821502,0.009749303621169917,0.01659329495428378,0.007899628252788104,0.019002375296912115,0.008816705336426913,0.021386430678466076,0.009186954524575103,0.021452766277756868,0.008882655446470314,0.020650095602294454,0.008739650413983441,0.02179944510503369,0.009170105456212746
31076,0.017146776406035666,0.015984955336154207,0.014472777394900068,0.016713091922005572,0.012529630883846935,0.01533457249070632,0.012555140821174076,0.01716937354988399,0.014011799410029498,0.01929260450160772,0.01618366578848325,0.019635343618513323,0.014149139579349905,0.021159153633854646,0.012683313515655966,0.02246675836772123
31077,0.0003429355281207133,0.004231311706629055,0.002067539627842867,0.003714020427112349,0.0023704707077548256,0.004182156133828996,0.0023752969121140144,0.0013921113689095127,0.0022123893805309734,0.004593477262287551,0.0030109145652992097,0.0037400654511453952,0.0026768642447418736,0.003219871205151794,0.0027744748315497426,0.0036680421824850985
32001,0.04526748971193416,0.041372825575928536,0.048242591316333565,0.04271123491179202,0.04808669150016932,0.041821561338289966,0.04886325076348829,0.04222737819025522,0.05235988200589971,0.04180064308681672,0.057583741061347386,0.04394576905095839,0.06424474187380497,0.045078196872125116,0.06302021403091558,0.04676753782668501
32002,0.17901234567901234,0.1612599905970851,0.18022053756030323,0.15923862581244197,0.17913985777175753,0.16263940520446096,0.17237869019341703,0.165661252900232,0.16851032448377581,0.16858061552595316,0.17538577342867895,0.1767180925666199,0.1858508604206501,0.17985280588776448,0.1961950059453032,0.18110958276020175
32003,0.04972565157750343,0.0305594734367654,0.05099931082012405,0.031104921077065924,0.05011852353538774,0.029275092936802975,0.04818459450288429,0.028306264501160094,0.04424778761061947,0.028020211299954065,0.04102371095220173,0.02851799906498364,0.043594646271510516,0.029438822447102116,0.039239001189060645,0.030261348005502064
32004,0.057956104252400546,0.04372355430183357,0.057891109579600274,0.04549675023212628,0.05384354893328818,0.04321561338289963,0.05361384458771632,0.04269141531322506,0.06047197640117994,0.04501607717041801,0.06398193451260821,0.04441327723235157,0.07036328871892926,0.046918123275068994,0.07055093143083631,0.04676753782668501
