CIR,2007,2008,2009,2010,2012,2013,2014,2015
31059,0.25,0.26,0.28,0.23,0.26,0.21,0.21,0.23
31061,0.35,0.35,0.38,0.38,0.44,0.48,0.48,0.47
31063,0.29,0.3,0.35,0.32,0.35,0.32,0.36,0.37
31065,0.44,0.43,0.45,0.49,0.52,0.47,0.52,0.5
31067,0.09,0.11,0.13,0.11,0.12,0.08,0.09,0.09
31068,0.13,0.13,0.16,0.14,0.15,0.15,0.15,0.17
31069,0.34,0.4,0.41,0.38,0.33,0.34,0.36,0.36
31071,0.41,0.43,0.46,0.45,0.41,0.4,0.43,0.41
31072,0.16,0.17,0.18,0.19,0.18,0.19,0.24,0.26
31073,0.16,0.17,0.16,0.14,0.17,0.17,0.18,0.15
31074,0.21,0.22,0.17,0.18,0.35,0.35,0.38,0.4
31075,0.28,0.29,0.38,0.39,0.4,0.37,0.39,0.4
31076,0.19,0.14,0.14,0.12,0.12,0.12,0.1,0.08
31077,0.09,0.14,0.13,0.23,0.13,0.13,0.14,0.14
32001,0.18,0.2,0.22,0.22,0.23,0.23,0.27,0.25
32002,0.18,0.2,0.2,0.19,0.17,0.16,0.18,0.19
32003,0.3,0.32,0.35,0.35,0.29,0.25,0.28,0.24
32004,0.24,0.24,0.24,0.24,0.25,0.26,0.29,0.29
33001,0.17,0.19,0.19,0.18,0.18,0.18,0.19,0.23
33002,0.18,0.19,0.3,0.28,0.27,0.24,0.24,0.22
33003,0.61,0.6,0.54,0.43,0.26,0.27,0.27,0.28
33004,0.48,0.52,0.43,0.41,0.36,0.36,0.38,0.34
33005,0.22,0.24,0.25,0.25,0.23,0.21,0.23,0.17
33006,0.26,0.27,0.28,0.27,0.28,0.26,0.25,0.26
33007,0.66,0.78,0.7,0.54,0.53,0.49,0.58,0.43
33008,0.23,0.29,0.35,0.25,0.27,0.23,0.22,0.22
33009,0.24,0.24,0.24,0.27,0.28,0.26,0.29,0.3
35011,0.05,0.05,0.06,0.07,0.08,0.08,0.08,0.07
35012,0.14,0.14,0.14,0.13,0.14,0.12,0.15,0.19
35013,0.1,0.09,0.09,0.09,0.1,0.08,0.08,0.08
35014,0.07,0.07,0.09,0.1,0.09,0.09,0.09,0.09
35015,0.19,0.2,0.21,0.2,0.16,0.16,0.16,0.12
35016,0.14,0.16,0.18,0.17,0.15,0.14,0.16,0.17
35021,0.29,0.31,0.38,0.35,0.36,0.3,0.23,0.24
35022,0.43,0.49,0.51,0.51,0.38,0.4,0.44,0.44
35023,0.19,0.21,0.2,0.27,0.3,0.28,0.32,0.32
35031,0.11,0.04,0.06,0.05,0.14,0.16,0.15,0.07
35033,0.19,0.21,0.22,0.23,0.26,0.27,0.3,0.29
35034,0.25,0.31,0.28,0.28,0.24,0.21,0.24,0.25
35041,0.15,0.18,0.16,0.16,0.15,0.14,0.16,0.16
35051,0.18,0.21,0.23,0.23,0.21,0.21,0.22,0.29
35062,0.32,0.34,0.37,0.31,0.31,0.31,0.34,0.3
35063,0.2,0.23,0.25,0.27,0.21,0.23,0.25,0.3
35064,0.29,0.32,0.3,0.32,0.34,0.34,0.39,0.4
35065,0.31,0.32,0.34,0.32,0.33,0.34,0.42,0.41
35071,0.17,0.17,0.17,0.19,0.21,0.21,0.21,0.2
35072,0.18,0.17,0.18,0.17,0.19,0.18,0.18,0.17
35073,0.08,0.12,0.12,0.12,0.14,0.14,0.15,0.15
35081,0.18,0.21,0.23,0.19,0.14,0.12,0.13,0.14
35092,0.41,0.43,0.44,0.44,0.46,0.47,0.48,0.48
35093,0.25,0.24,0.31,0.29,0.21,0.23,0.26,0.25
35094,0.35,0.38,0.37,0.37,0.39,0.41,0.46,0.45
35101,0.13,0.14,0.17,0.18,0.22,0.22,0.22,0.25
35102,0.17,0.18,0.17,0.11,0.12,0.13,0.14,0.15
35103,0.2,0.21,0.22,0.23,0.19,0.19,0.21,0.21
35104,0.1,0.12,0.13,0.13,0.16,0.19,0.19,0.18
35112,0.15,0.16,0.16,0.15,0.17,0.16,0.21,0.23
35115,0.34,0.37,0.38,0.38,0.33,0.26,0.24,0.23
35121,0.07,0.04,0.06,0.07,0.11,0.12,0.13,0.13
35131,0.25,0.3,0.31,0.31,0.31,0.34,0.3,0.3
35132,0.16,0.17,0.16,0.16,0.15,0.14,0.15,0.15
35141,0.2,0.22,0.22,0.21,0.28,0.32,0.37,0.36
35151,0.37,0.37,0.36,0.36,0.29,0.29,0.3,0.31
35153,0.46,0.37,0.31,0.31,0.39,0.32,0.31,0.33
35155,0.27,0.27,0.26,0.27,0.3,0.3,0.31,0.27
35157,0.33,0.36,0.38,0.38,0.31,0.29,0.31,0.3
35161,0.13,0.11,0.16,0.17,0.18,0.19,0.22,0.21
35162,0.25,0.25,0.28,0.29,0.26,0.24,0.27,0.27
35163,0.17,0.14,0.16,0.17,0.16,0.16,0.17,0.15
35171,0.16,0.17,0.18,0.16,0.14,0.15,0.17,0.18
35172,0.19,0.2,0.22,0.22,0.23,0.24,0.28,0.26
35173,0.14,0.14,0.16,0.19,0.24,0.24,0.26,0.23
35174,0.19,0.25,0.27,0.26,0.22,0.2,0.22,0.22
41001,0.2,0.21,0.23,0.23,0.23,0.22,0.24,0.25
41002,0.17,0.18,0.19,0.18,0.18,0.17,0.18,0.17
41003,0.28,0.32,0.32,0.31,0.25,0.26,0.28,0.24
41004,0.42,0.5,0.51,0.45,0.47,0.39,0.43,0.42
41005,0.44,0.45,0.48,0.43,0.4,0.36,0.37,0.36
41006,0.34,0.37,0.33,0.37,0.39,0.37,0.42,0.42
41007,0.3,0.33,0.34,0.31,0.31,0.28,0.26,0.26
41008,0.53,0.55,0.55,0.59,0.52,0.51,0.54,0.52
41009,0.27,0.31,0.31,0.23,0.23,0.22,0.21,0.22
41010,0.33,0.31,0.32,0.32,0.31,0.32,0.32,0.3
41011,0.65,0.62,0.62,0.57,0.53,0.49,0.51,0.54
41012,0.35,0.27,0.26,0.23,0.19,0.2,0.32,0.34
41013,0.26,0.27,0.25,0.26,0.26,0.24,0.22,0.19
41015,0.29,0.29,0.29,0.26,0.26,0.21,0.25,0.23
41016,0.4,0.45,0.42,0.39,0.35,0.29,0.3,0.32
41017,0.18,0.21,0.27,0.24,0.22,0.21,0.23,0.26
41018,0.51,0.56,0.6,0.61,0.49,0.45,0.52,0.54
41019,0.58,0.64,0.67,0.68,0.69,0.65,0.77,0.8
41020,0.58,0.58,0.66,0.63,0.51,0.44,0.41,0.36
41021,0.16,0.16,0.17,0.2,0.18,0.17,0.41,0.41
41022,0.67,0.79,0.84,0.79,0.72,0.73,0.79,0.81
42001,0.57,0.64,0.68,0.6,0.54,0.55,0.52,0.48
42002,0.23,0.2,0.23,0.22,0.22,0.21,0.25,0.25
42003,0.58,0.64,0.64,0.53,0.45,0.4,0.45,0.42
42004,0.44,0.45,0.5,0.45,0.42,0.4,0.44,0.41
42005,0.06,0.05,0.07,0.07,0.09,0.07,0.05,0.04
